特性,学年,教科,合理的配慮,指導計画
検査等で時間配慮が必要,6,算数,テストは時間延長・別室選択可。電卓は四則のみ可など事前に明示。,模擬テストで配慮の妥当性を確認し、学年会で運用ルールを共有。
板書を写すのが困難,2,生活,板書写真・配布資料。学習のめあては個票で配布。,活動は「見る→やってみる→ふりかえる」の循環。ふりかえりはシールや写真で記録。
感情のコントロールが苦手,3,体育,負けや順番待ちの見通しをカードで示す。感情が高ぶったらクールダウン場所へ。,勝敗を伴わない協力活動を中心に配置。試合形式は短時間から導入。
集中はできるが終わりの切り替えが苦手,1,図工,制作時間をタイマーで予告。終了前に「あと5分・あと1分」カード提示。,制作後に「作品発表タイム」を必ず設定して切り替えを促す。
語音の弁別が弱い,2,国語,ことばの最初の音を強調。視覚カードを併用。,ペアでしりとり→カードで確認→短文で活用。正答は拍手で強化。
集団行動での立ち歩き,4,社会,移動範囲を床ラインで明示。役割を持たせる。,グループ活動は役割カードを使用。進行係や記録係を固定し、動きを整理。
課題に取りかかるのが遅い,5,算数,課題開始の合図カード。最初の1問を一緒に解いて着手を促す。,着手できたらシールで可視化。徐々に自力開始を増やす。
感情表現が乏しい,6,国語,表情カードで感情を可視化。意見表明は○×カードで代替可。,感情を扱う題材で「登場人物カード」を活用。発言は短い選択肢から。
課題が終わらないことが多い,3,理科,課題量を調整し、完成見本を示す。,途中達成でも「ここまでOK」とする段階評価。次回に持ち越せる仕組み。
語彙理解に差がある,2,国語,新出語彙は絵カードと実物提示。説明は短く具体的に。,語彙→短文→会話の順で使う練習を積み重ねる。
作業が雑になる,4,図工,工程を小分けに提示。作業開始前に道具の確認リスト。,完成見本と比較しながら修正→提出前に友だちと相互チェック。
教師の注意に敏感で萎縮,5,国語,否定的言葉を避け、肯定的にフィードバック。,小さな成功を可視化し、発表は事前準備型で安心感をもたせる。
自分の意見を言えない,6,社会,発言は短い選択肢から。記述は穴埋め方式。,小グループ→全体発表の段階的活動。ポストイットを活用して匿名で意見提示。
集団での活動に不安,1,体育,活動の流れを絵カードで提示。見本を教師と一緒に行う。,個別で練習→ペア→小集団と段階的に拡大。成功を写真に残して次につなげる。
多動傾向が強い,2,体育,活動中の小休憩を組み込む。動きながら話せる「立ち読みタイム」。,体操→短い話し合い→身体を使う課題というサイクルで組み、活動中に「ふりかえり＆休憩カード」を挟む。
語彙理解の偏りが大きい,3,理科,専用語は絵・実物などで視覚化。語義カードと音声説明併用。,語彙→具体例→実験での使用というステップで学習内容を構成。
手先の協調運動が苦手,4,図工,ハサミ等は握りやすい形状。作業台は安定した高さ。,見本をデモ→手順カード→段階的に自立。完成図を見ながら実施。
集団の中で声を出せない,5,外国語,書いて表現（チャット形式可）。手を挙げずに発信できる方法を準備。,書いた内容→小グループ共有→慣れたら音声発表へステップアップ。
数学的概念が抽象的すぎると混乱,6,算数,モデルや具体物で導入。図・レール・カードなど立体化利用。,モデル体験→図示→数式化という段階を必ずセットに構成。
配慮されていないと混乱する,1,生活,日課表は毎朝確認。変更があるときは予告カード。,前日の確認時間→当日スタートも予告→小さな成功体験を積み上げる。
集団での発言が極度に緊張,2,国語,書いて提出も可。発表は事前録音でOK。,書く→録音→音声共有→少人数ズーム風発表など段階的に展開。
文の構造が把握しづらい,3,国語,接続詞は色分け。文型提示可。,文構造のマッチング→色マーカー利用→音読で確認という流れ。
音読が早すぎて理解が追いつかない,4,国語,ペース合わせ用音源。読みは自分の聞き取り可能な速度に調整。,音源聞く→一緒に読む→理解チェック→速度調整のサイクルを提示。
授業中に極度におなかがすく,5,全教科,小さいスナックの持参を許可。休憩時間に軽食。,学習時間と軽食タイムをあらかじめスケジュールに組み込む。
書く姿勢が悪く疲れやすい,6,理科,高さ調整可能な椅子・机。肘クッション。,姿勢チェック時間を入れ、作業→ストレッチ→再開のサイクルを設ける。
音への反応が鈍く、指示に気づきにくい,1,生活,光るブザー・振動タイマーなど視覚・触覚併用アラーム。,合図→行動→チェックリストという流れを確立。
ノートの整理ができない,2,社会,ワークシート形式・穴埋め形式ノートを使用。,教師ノート→穴埋め→自分でまとめという段階。
儀式的な順序へのこだわり,3,生活,手順表を作成。変更時は「なぜ変更か」の説明と同伴選択。,通常→変更→戻るの順序を視覚的に示し、子どもの安心感を支える。
発話内容が明瞭でない,4,外国語,タブレットで録音して音声をクリアにする。文字起こしも併用。,音声録音→文字化→教師や友だちと確認→慣れたら直接発表へ。
指示を忘れやすい,5,算数,指示は付箋・タイムラインで視覚的に。口頭で繰り返し確認。,指示→書く→確認→実施という4ステップを定着。
書く内容が混乱しやすい,6,国語,段落ガイドライン。見出し・小見出し提示。,テンプレート利用→段階的書き→教師フィードバック。
視覚的な疲れやすさ,1,図工,明るさ調整可能なライト・適度な休憩。,作業→休憩→描画のサイクルを意識して組む。
文字の形が不安定（判読が困難）,2,国語,書写用テンプレート・ガイドライン使用。,模写→練習→自分で書く流れを可視化。成果はスタンプで証明。
聞き返すことを躊躇する,3,外国語,チャット形式の質問可。手を挙げずに質問できる工夫。,発問→チャット回答→対話形式で確認という順に導く。
持続的な視線ができない,4,生活,短い視覚カードで提示。触覚カードを併用。,見る→触る→応答の順で感覚刺激を支援。徐々に視線を引き上げる。
答えづらい質問に過度に緊張,5,社会,"""はい・いいえ""カードで答えOK。言いたいタイミングで選択可。",書く→選ぶ→話すという選択の段階を設置。
紙面が視界に入りすぎると混乱,6,算数,プリントは1枚ずつ提示。間に余白のあるフォント使用。,プリント→指示→実施というシンプルな構成。
すぐ諦めてしまう,1,算数,小さなステップで「できた！」の実感を積む。,問題を分割→1つずつ取り組ませ→成功体験をその都度スタンプ化。
音声指示が通りにくい（理由はさまざま）,2,理科,指示は音＋文字で提示。ジェスチャーでの補助も。,指示→確認→開始を必ず視覚確認で行う。
集団内で声がかぶると混乱,3,全教科,一度に話せる人数を制限。順番カード配布。,発言→次の順番→発表という流れを視覚化。
書かれた文字が雑で読みづらい,4,社会,ワークは大きな文字・行間広めに印刷。,書きやすい環境→清書→確認のサイクル。
書き直しに自信がない,5,国語,二重原稿用紙・両面書き手本。,下書き→清書→教師フィードバック→修正という段階で進める。
注目されると萎縮する,6,体育,見られず済む方法で練習。徐々に小グループ、全体へ。,舞台裏→ミニ発表→大発表というステップを設け安心感を段階的に増やす。
書く指示が多すぎて混乱,1,国語,一度に提示する指示を1文に絞る。カード1枚ずつ付与。,指示→確認→実行のシンプルサイクルに限定。
教師の声が小さいと聞き取れない,2,国語,マイク使用、または座席調整。要点は板書。,説明→板書→確認質問→演習のループ。
一度に複数の作業を求められると混乱,3,算数,手順カード1枚ずつ。課題は分割。,手順→確認→1タスク完了→次タスク。
集団で意見が対立すると不安,4,社会,ファシリテーター役の支援。意見カードで可視化。,個人意見→カード共有→合意形成。
長時間同じ姿勢が保てない,5,理科,スタンディングデスク利用可。姿勢チェンジの合図。,15分ごとに体勢を変える活動を挟む。
教師が替わると混乱,6,外国語,交代時に自己紹介カード。流れの予告。,固定活動→新教師紹介→授業。
突然の音に過敏,1,図工,イヤーマフ常備。音の出る活動は事前告知。,音→予告→活動→振り返り。
計算の順序を間違える,2,算数,手順チェックリスト。答え合わせ時に確認欄。,手順練習→個別演習→確認。
視覚情報の整理が苦手,3,理科,図解・矢印を多用。文章は最小限。,図の説明→実験→まとめをビジュアル中心で。
話が長いと集中が切れる,4,社会,5分以内で区切る。小テスト形式で理解確認。,説明→確認→活動を繰り返す。
書き写しが遅い,5,国語,プリント配布。要点は短いコピー。,プリント活用→内容確認→発展課題。
提出忘れが多い,6,全教科,提出箱を固定。リマインダーを用意。,課題→チェックリスト→提出→確認。
読むスピードが遅い,1,国語,読み上げアプリ可。短文を区切って提示。,短文音読→ペア練習→全体共有。
黒板の文字が小さいと見えない,2,算数,大きな文字・プリント併用。座席を前方に。,プリント確認→板書補足→演習。
人前での失敗に過敏,3,体育,小グループで練習。役割を細かく設定。,個別練習→小集団→発表。
記憶が定着しにくい,4,外国語,単語カードで反復。音声アプリ併用。,覚える→小テスト→使う→復習。
音声入力の方が得意,5,国語,タブレット音声入力可。教師が誤字をサポート。,音声→テキスト化→修正→清書。
不意の発問で答えられない,6,社会,質問は事前予告。答える順番を決める。,準備→回答→ふりかえり。
授業時間が長く感じる,1,算数,時間の見通しを提示。タイマー活用。,10分ごとに区切って学習。
周囲の声で集中が切れる,2,国語,イヤーマフ使用可。座席を壁際に。,集中課題→小休憩→活動。
文字を左右反転して書くことがある,3,国語,書字練習で矢印補助。テンプレート使用。,模写→練習→確認。
大きな声を出せない,4,音楽,録音提出可。小声でも評価。,録音→確認→少人数発表。
人前で発言するのを避ける,5,国語,書いて提出可。発表は小グループから。,書く→小グループ共有→全体へ。
板書を写すのが困難,6,理科,プリント配布。写真で記録OK。,プリント参照→実験→まとめ。
一斉の音読が苦手,1,国語,個別または小グループ。録音可。,個別練習→少人数→全体。
教師の冗談が理解できない,2,国語,冗談は避ける。明確に説明。,短文→意味確認→例文。
絵や図での理解が得意,3,理科,図解中心。文字は最小限。,図→実験→まとめ。
記憶が定着しにくい,4,算数,復習カード活用。宿題も短く反復型。,学習→確認→復習。
英語で発音が苦手,5,外国語,録音アプリで練習。教師が個別にフィードバック。,録音→確認→実演。
授業中に立ち歩く,6,全教科,移動可能な座席。活動に役割を設定。,座る→動く→戻るのサイクルを計画。
文字が小さいと集中できない,1,国語,大きな文字教材。拡大コピー。,大文字教材→音読→まとめ。
授業中にメモを取るのが苦手,3,国語,重要事項は配布プリントで補助,授業では聞くことに集中できるようにして振り返りでプリントを活用する 
体育での集団競技に強い不安がある,5,体育,個別の役割を設定して参加できるようにする,ルール説明後に少人数練習を経て全体活動に参加する流れを作る 
課題に取りかかるのが遅い,2,算数,取りかかり用の合図カードを提示,課題開始前に合図→確認→実施のルーチンを繰り返す 
話の要点をつかみにくい,4,社会,要点メモやキーワードカードを提示,授業ごとに要点をまとめ→確認→活用活動へと展開する 
英語のスペル暗記が苦手,6,外国語,音と文字をリンクさせるカード教材を使用,音読→スペリング練習→小テスト→振り返りの流れで進める 
計算の途中で間違える,3,算数,ステップシートを使用して手順を可視化,演習ごとにステップを確認しながら進める 
話し合いで相手の意見を待てない,5,国語,発言順カードを使って順番を明示,ルール確認→練習→本番活動で発言をコントロールする 
授業中に立ち歩きやすい,1,全教科,移動可能な学習スペースを設定,短時間ごとに立って動ける活動を組み込む 
黒板の色チョークが見えにくい,2,理科,黒板は白チョーク中心に使用しプリント併用,見えにくさを補うために座席調整と拡大資料を配布する 
長い文章を読むと集中が切れる,4,国語,段落ごとに区切って提示,読む→確認→要約のステップで進める 
計算が苦手,2,算数,制限時間を延長し電卓の使用を許可,基本計算は電卓併用し応用問題に時間をかけられるようにする 
板書を写すのが遅い,4,国語,授業資料を事前に配布,板書に集中するのではなく説明を聞くことに注力できるようにする 
作業を途中でやめてしまう,1,図工,完了チェックリストを使用,各手順を終えるごとにスタンプを押して達成感を得る 
指示を忘れやすい,3,理科,指示をカードに書いて渡す,活動の流れを可視化して何度も確認できるようにする 
体育で列を作るのが苦手,2,体育,立ち位置マークを床に貼る,並び方を視覚で理解できるようにして不安を減らす 
長時間の集中が難しい,5,外国語,10分ごとに小休止を設ける,小テストや歌など活動を切り替えながら進める 
書字で字形が崩れる,6,国語,下敷きやマス入り用紙を使用,書きやすさを補い内容理解を優先する 
音読が苦手,4,国語,読む箇所を事前に指定して練習,本番前に小グループで練習してから全体で読む 
教室のざわつきで集中できない,3,算数,静かな席に座席を調整,雑音を避けて集中できる環境を確保する 
自分の意見を言えない,2,道徳,発言カードを使って意思表示,発言が苦手でもカードで意見を出せるようにする 
宿題を忘れやすい,5,全教科,チェック表を家庭と共有,提出管理を保護者と連携して支援する 
授業中に眠くなる,1,音楽,活動の切り替えを頻繁に行う,歌う・動くを交互に取り入れて覚醒を促す 
試験で緊張が強すぎる,6,全教科,別室受験を認める,落ち着ける環境で実力を発揮できるようにする 
黒板の文字が小さいと見えない,2,算数,プリント拡大版を用意,読みやすさを確保して理解を助ける 
活動の順序が分からなくなる,1,図工,手順カードを机に置く,順序を確認しながら安心して作業できるようにする 
英語の単語を覚えられない,3,外国語,視覚教材や歌を活用,音と映像で覚えやすくする 
話し合いで割り込んでしまう,4,社会,発言順ルールを明示,ルールに沿って交代で発言できるよう練習する 
漢字を覚えにくい,2,国語,書き取りは少量反復,成功体験を積み重ねて習得を進める 
体育でルールを覚えにくい,5,体育,ルールを図解ポスターにして提示,事前に個別に確認してから参加する 
長い文章を読むと集中が切れる,6,国語,問題を分割して提示,部分ごとに答えて達成感を得られるようにする 
作業の切り替えが苦手,1,生活,タイマーで終了合図を出す,終了の見通しを示してスムーズに切り替えを促す 
グループ活動で役割が曖昧になると混乱する,4,社会,役割カードを配布して明確化,役割分担を意識させて活動を安定させる 
書写で筆圧が安定しない,2,国語,ペンを太めに変更,書きやすい道具でストレスを軽減する 
理解が遅いと焦りやすい,5,数学,補助プリントを用意,基礎問題から段階的に取り組ませる 
歌を覚えるのが苦手,3,音楽,歌詞カードにイラストを添付,意味を理解しながら歌えるようにする 
発表で声が小さい,2,国語,発表練習にマイクを使う,声量を意識して自信をつける 
漢字テストで極端に点数が低い,4,国語,出題数を調整,学習した範囲に絞って出題する 
集団行動が苦手,1,体育,隊形図を示す,並び方を絵で理解できるようにする 
理科実験で道具操作に不安がある,6,理科,実験手順を映像で示す,事前学習で安心感を持たせる 
話が長いと理解が途切れる,3,社会,短い指示に区切る,部分ごとに確認しながら理解を進める 
話し合い活動で発言が一方的になる,5,国語,発言回数を制限するカードを使う,他者の発言を待つ姿勢を育てる 
作業中に立ち歩いてしまう,1,図工,作業エリアを床テープで区切る,自分の場所を意識して取り組めるようにする 
聞き取りが苦手,3,外国語,音声を繰り返し聞ける教材を用意,個別にリスニングを補強する 
グループ学習で役割が果たせない,4,理科,役割を具体的に指定,自分の役割を果たしやすいよう支援する 
書くスピードが遅い,6,社会,答案はキーワードのみで可,内容理解を重視する 
黒板の字を読むのが苦しい,2,国語,拡大プリントを準備,内容把握を支援する 
文章をまとめるのが苦手,5,国語,まとめの枠を示す,文章構造を意識して書けるようにする 
体力が少ない,3,体育,負荷を個別調整,達成感を得られる運動に切り替える 
理科実験で安全に不安,1,理科,個別に補助教員を配置,安心して活動できる環境を作る 
英語で発音が苦手,4,外国語,ペア練習を中心にする,恥ずかしさを和らげ自信を育む 
授業中に落書きをしてしまう,2,全教科,落書き用紙を別に配布,授業への集中を保つ 
長文の読解が苦手,6,国語,段落ごとに要約する練習,少しずつ全体理解へつなげる 
集団でのゲームが苦手,1,体育,個別ルールで参加可能にする,無理なく達成感を味わえるようにする 
宿題に取り組めない,3,全教科,宿題量を減らして提出できる範囲に,小さな成功体験を積む 
板書を写すと疲れてしまう,5,社会,板書プリントを配布,聞く活動に集中できるようにする 
発表前に緊張が高まる,2,道徳,ペアで事前練習,不安を軽減して発表に臨む 
英語のスペル暗記が苦手,4,外国語,フラッシュカードで学習,繰り返しで習得を助ける 
集団指示が入りにくい,1,音楽,個別に声をかける,指示理解を確実にする 
読書感想文が書けない,6,国語,質問シートで構成を補助,自分の考えを整理できるようにする 
体育で順番が待てない,2,体育,待つ間の役割を与える,待機時間の不安を減らす 
ノートの整理ができない,3,数学,事前に枠線を入れたプリントを配布,整理の負担を減らして学習内容に集中する 
漢字練習が苦痛になる,5,国語,書き方アプリを活用,遊び感覚で練習できるようにする 
語彙力が弱い,4,国語,絵カードを用意,語彙理解を補助する 
理科の観察記録が書けない,6,理科,記録シートを用意,記録の枠組みを補助する 
発言が大きすぎる,1,国語,音量カードで調整を意識,適切な声量を学べるようにする 
授業中に立ち歩く,2,算数,タイマーで区切って座る時間を示す,着席習慣を徐々に育てる 
体育の球技で参加できない,5,体育,役割を審判や得点係に,無理なく関われるようにする 
作文の構成が苦手,3,国語,構成テンプレートを配布,考えを整理して書きやすくする 
英語で恥ずかしさが強い,1,外国語,ペア練習を主とする,自信を育み学習意欲を高める 
理科実験の準備が遅い,4,理科,事前準備リストを渡す,流れを理解して落ち着いて取り組めるようにする 
黒板を見続けるのがつらい,2,社会,プリントを手元に配布,集中しやすくする 
作業を途中でやめてしまう,1,図工,小目標を設定,完了感を積み重ねて継続力を育てる 
発音練習に抵抗がある,3,外国語,歌やゲームで発音を取り入れる,楽しみながら学習する 
グループ活動で消極的,4,社会,役割を小さく設定,無理なく参加できるようにする 
字を丁寧に書けない,6,国語,下敷きを使用,書きやすさを確保して内容に集中する 
体育で動作がぎこちない,2,体育,モデル映像を提示,動きを視覚で理解させる 
指示をすぐに忘れる,5,全教科,チェックリストを机に置く,自分で確認できるようにする 
読み間違いが多い,1,国語,ルビを振った教材を使用,自信を持って読む練習を支援する 
宿題が提出できない,4,算数,提出日を個別調整,成功体験を重ねさせる 
話を聞くのが苦手,3,理科,図を多用して説明,視覚で理解を補う 
書くのが遅い,2,外国語,穴埋めプリントを使用,時間内に取り組めるようにする 
発表で緊張が強い,6,国語,発表順を事前に伝える,見通しを持たせ不安を減らす 
体育で動きが覚えられない,1,体育,繰り返し練習,動きを体に染み込ませる 
計算の途中で間違える,5,算数,手順を色分けして示す,注意を向けやすくする 
ノートを取れない,4,社会,板書プリントを用意,聞くことに集中できるようにする 
漢字を覚えにくい,3,国語,絵と関連付けて学習,記憶を助ける 
音読が苦手,2,国語,録音して聞かせる,成功体験を増やす 
実験で混乱する,6,理科,個別に手順を確認,落ち着いて取り組めるようにする 
話を最後まで聞けない,1,生活,短い指示で区切る,集中を持続させる 
英語の単語を覚えられない,4,外国語,絵カードを使う,視覚で記憶を支援する 
体育で順番が待てない,2,体育,待機役割を設定,行動を安定させる 
文章を長く書けない,5,国語,文の枠を提示,少しずつ書けるようにする 
集団での遊びが苦手,3,体育,個別ルールを用意,無理なく参加できるようにする 
発言が多すぎる,6,国語,発言カードで調整,発言のバランスを学ぶ 
記録を取れない,1,理科,写真で記録を補助,活動に集中できるようにする 
社会の暗記が苦手,4,社会,地図や図解を活用,視覚で覚えやすくする 
計算が苦手,2,算数,ゲーム形式で練習,楽しみながら力をつける 
語彙が少ない,5,国語,絵辞典を活用,言葉の理解を広げる 
英語でリスニングが苦手,3,外国語,短い会話を繰り返す,徐々に耳を慣らす 
実験に不安がある,6,理科,模擬実験を見せる,安心して取り組めるようにする
板書の写しが遅い,3,国語,板書プリントを用意,授業内容に集中できるようにする 
体育の縄跳びが苦手,2,体育,個別の練習時間を設定,成功体験を積ませる 
発表で声が小さい,4,国語,音量カードで意識を促す,聞き手に届く声量を練習する 
数字の順序を間違える,1,算数,数直線を提示,視覚的に理解を助ける 
グループ活動で消極的,5,社会,役割を明示的に与える,責任感を持って関わらせる 
宿題を忘れやすい,6,全教科,宿題カードで確認,提出習慣を育てる 
英語のスペル暗記が苦手,3,外国語,語呂合わせを用いる,記憶を助ける 
作業の見通しが立たない,2,図工,手順カードを渡す,見通しを持って活動できるようにする 
話を最後まで聞けない,4,道徳,発言の順番カードを使用,落ち着いて話を聞く練習をする 
字が読みにくい,1,国語,罫線付きノートを使う,丁寧に書く習慣を育てる 
体育の球技に不安,6,体育,ルールを簡略化,安心して参加できるようにする 
計算の繰り上がりで混乱,2,算数,色分けして視覚的に示す,手順理解を補助する 
発言のタイミングが合わない,3,社会,発言順を決めてから話す,落ち着いて参加できるようにする 
長文の読解が苦手,5,国語,要約プリントを用意,段階的に理解を助ける 
英語でリスニングが苦手,1,外国語,短いフレーズの反復練習,少しずつ慣れるようにする 
集中が続かない,4,理科,タイマーで学習を区切る,集中しやすい環境を作る 
作文の構成が苦手,6,国語,テンプレートを活用,論理的に文章を作れるようにする 
図形の理解が苦手,3,算数,立体模型を使用,実物で理解を助ける 
体育で走るのが遅い,2,体育,記録より努力を評価,達成感を持てるようにする 
歴史の暗記ができない,5,社会,年表カードを用意,視覚的に流れを把握する 
黒板を見逃すことが多い,1,国語,板書内容を個別に声かけ,注意を促す 
図工で手先が不器用,4,図工,道具を工夫して使いやすくする,成功体験を積ませる 
英語で発音が苦手,6,外国語,歌を取り入れる,楽しく発音を練習する 
話が長くまとまらない,3,国語,要点をまとめるカードを提示,簡潔に話す練習をする 
体育で転びやすい,1,体育,運動場を整備,安全に活動できるようにする 
計算が苦手,5,算数,計算ドリルを分割,少しずつ練習させる 
読書が苦手,2,国語,興味ある本を選ばせる,読書意欲を高める 
社会で地図が読めない,4,社会,簡略化した地図を提示,理解を助ける 
集団活動で声が小さい,6,道徳,発言練習を少人数から始める,自信を持たせる 
作業が遅い,3,図工,事前に材料を準備,作業の負担を軽減する 
音読が苦手,2,国語,短文から練習する,自信を持って読めるようにする 
体育で縄跳びのリズムが取れない,4,体育,音楽に合わせて練習,感覚的に習得できるようにする 
ノートの整理ができない,6,数学,フォーマットプリントを活用,整理して学習に集中できるようにする 
英語で文法理解が苦手,3,外国語,色分けして構造を示す,視覚的に理解しやすくする 
集団で意見を言えない,5,社会,まずペアで発表,徐々に集団発表へ慣れさせる 
話を遮ってしまう,1,国語,発言順カードを使う,待つ習慣を育てる 
体育でボールを怖がる,2,体育,柔らかいボールを使用,安心して活動できるようにする 
図工で道具の扱いが苦手,4,図工,使いやすい道具を準備,活動を楽しめるようにする 
英語のスペル暗記が苦手,6,外国語,反復カードで確認,記憶の定着を助ける 
長文を読むと疲れる,3,国語,段落ごとに区切って読む,集中しやすくする 
計算の見落としが多い,5,算数,正負を色で区別,視覚的に確認を助ける 
歴史人物を混同する,6,社会,人物カードを作成,区別して理解しやすくする 
音楽でリズムがとれない,2,音楽,手拍子から始める,徐々に楽器に移行する 
発表が長くまとまらない,4,国語,発表の型を教える,簡潔に伝える力を育てる 
体育で走るのを嫌がる,1,体育,短距離から挑戦させる,少しずつ自信をつける 
社会で地理が覚えられない,5,社会,写真や映像を活用,興味を持たせる 
黒板の字を写し忘れる,3,国語,板書チェックリストを渡す,自分で確認する習慣を育てる 
作業が雑になる,2,図工,完成見本を提示,丁寧さを意識させる 
英語のスピーキングに消極的,6,外国語,ペア練習から始める,安心して発話できるようにする 
数学の文章題が苦手,4,数学,図や表に整理させる,視覚化して理解を助ける 
体育でルールを覚えにくい,1,体育,イラスト入りルール表を渡す,見ながら活動できるようにする 
読解に時間がかかる,5,国語,音読サポートを導入,文章理解を補助する 
宿題を出し忘れる,3,全教科,提出箱を常設,習慣を定着させる 
集団で話すのが苦手,6,道徳,小グループで意見交換,発言しやすい環境を整える 
計算の順序を間違える,2,算数,手順カードを使う,落ち着いて考えられるようにする 
音楽で歌詞を覚えられない,4,音楽,カードに歌詞を印刷,繰り返し練習する 
体育で動きが遅い,5,体育,個別目標を設定,自分のペースで達成できるようにする 
社会の暗記が苦手,3,社会,クイズ形式で学習,楽しく覚えられるようにする 
図工で片付けができない,1,図工,手順表を掲示,見ながら片付けを進める 
英語でリスニングが苦手,6,外国語,短い文から繰り返す,徐々にスピードに慣れさせる 
多動傾向が強い,6,体育,活動を小グループに分ける,ルール説明を短く区切って行う
書字が困難,5,国語,タブレット入力を許可,漢字練習を音声読み上げと組み合わせる
不安が強い,3,算数,見通しを伝える,計算ドリルは時間を区切って少しずつ行う
聴覚過敏,2,音楽,イヤーマフ使用を許可,演奏時は後方で参加できるようにする
理解の遅れ,4,理科,視覚資料を活用,実験は手順を1つずつ確認させる
自閉的傾向,1,生活,ペア活動を調整,役割を明確にして安心して参加させる
忘れ物が多い,6,社会,持ち物リストを提示,授業冒頭に確認の時間を設ける
衝動性が高い,2,体育,順番カードを活用,待つ場面では小課題を与える
読み書き障害,5,国語,ルビ付き教材を使用,音読は短文に区切って取り組む
集中困難,4,算数,タイマーを活用,短い課題ごとに休憩を入れる
社会的スキルが弱い,3,生活,ロールプレイを導入,挨拶や会話を場面ごとに練習する
計算が苦手,2,算数,計算表を机上に常備,繰り返し練習を少量ずつ行う
